date,adj_close
2024-08-22,8.0977
2024-08-23,8.0067
2024-08-26,8.0457
2024-08-27,8.0067
2024-08-28,8.0522
2024-08-29,7.9677
2024-08-30,8.1302
2024-09-03,8.1302
2024-09-04,8.0327
2024-09-05,7.7273
2024-09-06,7.6753
2024-09-09,7.7143
2024-09-10,7.6818
2024-09-11,7.8442
2024-09-12,7.9742
2024-09-13,7.8832
2024-09-16,7.9092
2024-09-17,7.7078
2024-09-18,7.7208
2024-09-19,7.7792
2024-09-20,7.8377
2024-09-23,7.7792
2024-09-24,7.7987
2024-09-25,7.8312
2024-09-26,7.6818
2024-09-27,7.4178
2024-09-30,7.4838
2024-10-01,7.4574
2024-10-02,7.5168
2024-10-03,7.5036
2024-10-04,7.5234
2024-10-07,7.695
2024-10-08,7.8533
2024-10-09,7.9457
2024-10-10,7.8863
2024-10-11,8.0843
2024-10-15,7.9853
2024-10-16,7.9655
2024-10-17,7.9952
2024-10-18,8.0183
2024-10-21,7.9391
2024-10-22,7.9589
2024-10-23,7.8797
2024-10-24,7.8137
2024-10-25,7.8071
2024-10-28,7.8731
2024-10-29,7.9589
2024-10-30,7.4112
2024-10-31,7.277
2024-11-01,7.1429
2024-11-04,6.9618
2024-11-05,6.935
2024-11-06,6.66
2024-11-07,6.8478
2024-11-08,7.2703
2024-11-11,7.277
2024-11-12,7.1094
2024-11-13,7.0758
2024-11-14,6.8143
2024-11-15,6.4118
2024-11-18,6.1771
2024-11-19,6.1771
2024-11-20,6.3683
2024-11-21,6.3314
2024-11-22,6.3381
2024-11-25,6.3984
2024-11-26,6.7204
2024-11-27,6.7271
2024-11-28,6.7539
2024-11-29,6.8495
2024-12-02,6.8427
2024-12-03,6.9519
2024-12-04,7.0885
2024-12-05,7.068
2024-12-06,7.1158
2024-12-09,6.9519
2024-12-10,6.8973
2024-12-11,6.87
2024-12-12,6.7334
2024-12-13,6.8154
2024-12-16,6.6993
2024-12-17,6.7129
2024-12-18,6.6788
2024-12-19,6.5695
2024-12-20,6.6754
2024-12-23,6.9519
2024-12-24,6.9383
2024-12-27,6.9041
2024-12-30,6.7539
2024-12-31,6.7678
2025-01-02,6.8235
2025-01-03,6.9069
2025-01-06,6.6774
2025-01-07,6.7609
2025-01-08,6.9139
2025-01-09,6.9765
