date,close,adj_close,volume
2023-01-10,20.040001,14.210724,600
2023-01-11,20.360001,14.437645,5900
2023-01-12,20.52,14.551098,7500
2023-01-13,20.35,14.430554,10000
2023-01-16,20.629999,14.629102,500
2023-01-17,20.51,14.544007,300
2023-01-18,20.450001,14.501459,100
2023-01-19,20.15,14.288722,6800
2023-01-20,20.110001,14.26036,0
2023-01-23,20.690001,14.671649,10500
2023-01-24,20.67,14.657465,200
2023-01-25,20.610001,14.614921,0
2023-01-26,20.74,14.707108,1000
2023-01-27,20.809999,14.756741,0
2023-01-30,20.860001,14.903201,0
2023-01-31,20.629999,14.738882,500
2023-02-01,20.700001,14.788896,0
2023-02-02,21.17,15.124683,20000
2023-02-03,21.120001,15.088959,2500
2023-02-06,20.91,14.938928,500
2023-02-07,21.049999,15.038948,100
2023-02-08,20.889999,14.924639,300
2023-02-09,20.75,14.82461,100
2023-02-10,20.76,14.83176,0
2023-02-13,21.0,15.003228,900
2023-02-14,20.9,14.931782,100
2023-02-15,20.940001,14.96036,600
2023-02-16,20.889999,14.924639,1900
2023-02-17,20.790001,14.853197,400
2023-02-21,20.48,14.63172,3100
2023-02-22,20.389999,14.567421,600
2023-02-23,20.540001,14.674587,2000
2023-02-24,20.24,14.46025,1700
2023-02-27,20.209999,14.550242,500
2023-02-28,20.219999,14.557446,0
2023-03-01,20.200001,14.543049,0
2023-03-02,20.09,14.463854,0
2023-03-03,20.52,14.773426,100
2023-03-06,20.530001,14.780634,1400
2023-03-07,20.23,14.564642,26600
2023-03-08,20.200001,14.543049,100
2023-03-09,19.91,14.334254,600
2023-03-10,19.65,14.14707,800
2023-03-13,19.719999,14.197473,3500
2023-03-14,19.9,14.327058,2300
2023-03-15,19.799999,14.255066,58500
2023-03-16,20.139999,14.499849,400
2023-03-17,19.959999,14.370255,700
2023-03-20,20.1,14.471048,100
2023-03-21,20.290001,14.607841,300
2023-03-22,20.309999,14.622243,100
2023-03-23,20.16,14.51425,5100
2023-03-24,20.110001,14.478249,0
2023-03-27,20.280001,14.600645,100
2023-03-28,20.23,14.564642,0
2023-03-29,20.459999,14.730234,4400
2023-03-30,20.41,14.806406,300
2023-03-31,20.41,14.806406,0
2023-04-03,20.719999,15.03129,200
2023-04-04,20.700001,15.016788,400
2023-04-05,20.629999,14.966002,0
2023-04-06,20.58,14.929732,200
2023-04-10,20.67,14.995022,0
2023-04-11,20.73,15.038552,200
2023-04-12,20.700001,15.016788,300
2023-04-13,20.85,15.125602,7300
2023-04-14,20.709999,15.024043,400
2023-04-17,20.799999,15.089327,0
2023-04-18,20.85,15.125602,24300
2023-04-19,20.9,15.161876,4600
2023-04-20,20.77,15.067569,15100
2023-04-21,20.77,15.067569,300
2023-04-24,20.790001,15.082079,3200
2023-04-25,20.52,14.886201,2000
2023-04-26,20.440001,14.828167,700
2023-04-27,20.65,15.094981,300
2023-04-28,20.780001,15.19001,400
2023-05-01,20.83,15.226562,1200
2023-05-02,20.59,15.051124,400
2023-05-03,20.450001,14.94878,4900
2023-05-04,20.440001,14.941469,0
2023-05-05,20.68,15.116911,1000
2023-05-08,20.66,15.10229,0
2023-05-09,20.6,15.058434,200
2023-05-10,20.700001,15.131535,200
2023-05-11,20.610001,15.065744,700
2023-05-12,20.610001,15.065744,0
2023-05-15,20.58,15.04381,0
2023-05-16,20.65,15.094981,0
2023-05-17,20.59,15.051124,100
2023-05-18,20.969999,15.328897,300
2023-05-19,20.879999,15.263108,200
2023-05-23,20.9,15.277728,3300
2023-05-24,20.68,15.116911,1500
2023-05-25,20.73,15.153462,7200
2023-05-26,20.93,15.299653,200
2023-05-29,21.1,15.423926,9500
2023-05-30,20.809999,15.324512,3500
2023-05-31,20.73,15.265596,5600
2023-06-01,20.879999,15.376057,3200
2023-06-02,21.219999,15.626439,21500
2023-06-05,21.15,15.57489,9500
2023-06-06,21.18,15.596982,1800
2023-06-07,21.120001,15.552796,4200
2023-06-08,21.23,15.633801,8100
2023-06-09,21.280001,15.67062,2500
2023-06-12,21.41,15.766356,900
2023-06-13,21.559999,15.876814,3000
2023-06-14,21.52,15.84736,9600
2023-06-15,21.780001,16.038822,13600
2023-06-16,21.719999,15.994637,5000
2023-06-19,21.700001,15.979916,1800
2023-06-20,21.59,15.898908,14800
2023-06-21,21.49,15.825264,3100
2023-06-22,21.52,15.84736,26500
2023-06-23,21.379999,15.744264,48300
2023-06-26,21.32,15.700075,800
2023-06-27,21.540001,15.862085,8400
2023-06-28,21.48,15.817906,3000
2023-06-29,21.43,15.895787,800
2023-06-30,21.719999,16.110899,2100
2023-07-04,21.82,16.185076,5200
2023-07-05,21.700001,16.096064,3300
2023-07-06,21.52,15.96255,600
2023-07-07,21.559999,15.992217,3400
2023-07-10,21.52,15.96255,2900
2023-07-11,21.610001,16.029305,5100
2023-07-12,21.809999,16.177652,7500
2023-07-13,21.99,16.311167,2200
2023-07-14,21.950001,16.281498,600
2023-07-17,22.040001,16.348257,800
2023-07-18,22.18,16.452106,1200
2023-07-19,22.219999,16.481771,2500
2023-07-20,22.08,16.377924,8200
2023-07-21,22.110001,16.400181,300
2023-07-24,22.17,16.444683,4600
2023-07-25,22.26,16.511446,14700
2023-07-26,22.25,16.504021,2600
2023-07-27,22.15,16.42985,3100
2023-07-28,22.16,16.553101,600
2023-07-31,22.139999,16.538166,20300
2023-08-01,22.16,16.553101,500
2023-08-02,21.82,16.299124,6400
2023-08-03,21.790001,16.276718,800
2023-08-04,21.690001,16.202021,1100
2023-08-08,21.780001,16.269249,1600
2023-08-09,21.780001,16.269249,0
2023-08-10,21.65,16.172142,200
2023-08-11,21.58,16.119858,800
2023-08-14,21.67,16.18708,200
2023-08-15,21.49,16.052624,2200
2023-08-16,21.370001,15.962987,1300
2023-08-17,21.17,15.813587,800
2023-08-18,21.209999,15.843476,400
2023-08-21,21.32,15.925635,300
2023-08-22,21.25,15.873344,3400
2023-08-23,21.5,16.060093,900
2023-08-24,21.299999,15.910695,1800
2023-08-25,21.389999,15.977923,10500
2023-08-28,21.43,16.007805,700
2023-08-29,21.76,16.254305,36900
2023-08-30,21.67,16.303204,1900
2023-08-31,21.68,16.310736,600
2023-09-01,21.68,16.310736,100
2023-09-05,21.620001,16.265594,5000
2023-09-06,21.469999,16.152746,1700
2023-09-07,21.42,16.115131,900
2023-09-08,21.42,16.115131,1300
2023-09-11,21.57,16.227976,900
2023-09-12,21.469999,16.152746,700
2023-09-13,21.48,16.160269,1700
2023-09-14,21.67,16.303204,900
2023-09-15,21.5,16.175312,400
2023-09-18,21.440001,16.130178,1500
2023-09-19,21.389999,16.092554,11500
2023-09-20,21.309999,16.032368,12500
2023-09-21,20.870001,15.701341,1200
2023-09-22,20.91,15.731434,500
2023-09-25,20.790001,15.641159,0
2023-09-26,20.559999,15.468113,30800
2023-09-27,20.559999,15.468113,0
2023-09-28,20.57,15.593195,8500
2023-09-29,20.48,15.524969,1000
2023-10-02,20.42,15.479483,700
2023-10-03,20.18,15.297551,1000
2023-10-04,20.370001,15.441584,100
2023-10-05,20.360001,15.434004,100
2023-10-06,20.6,15.615932,17900
2023-10-10,20.83,15.790291,4300
2023-10-11,20.83,15.790291,0
2023-10-12,20.91,15.850931,0
2023-10-13,20.719999,15.706903,200
2023-10-16,20.92,15.858516,500
2023-10-17,20.860001,15.813025,1200
2023-10-18,20.629999,15.638675,2700
2023-10-19,20.469999,15.517384,10600
2023-10-20,20.280001,15.373357,400
2023-10-23,20.23,15.335452,200
2023-10-24,20.299999,15.388516,600
2023-10-25,20.030001,15.183851,3300
2023-10-26,19.889999,15.077713,300
2023-10-27,19.65,14.895778,400
2023-10-30,19.809999,15.136471,2300
2023-10-31,19.9,15.205235,400
2023-11-01,19.889999,15.197599,0
2023-11-02,20.450001,15.625484,3100
2023-11-03,20.629999,15.763018,800
2023-11-06,20.629999,15.763018,0
2023-11-07,20.709999,15.82414,35000
2023-11-08,20.700001,15.816505,500
2023-11-09,20.57,15.717173,17700
2023-11-10,20.860001,15.938756,4500
2023-11-13,20.860001,15.938756,200
2023-11-14,21.15,16.160336,3200
2023-11-15,21.190001,16.190903,5300
2023-11-16,21.190001,16.190903,0
2023-11-17,21.25,16.23675,900
2023-11-20,21.440001,16.381922,200
2023-11-21,21.34,16.305515,3600
2023-11-22,21.43,16.374281,300
2023-11-23,21.41,16.359001,200
2023-11-24,21.559999,16.473612,200
2023-11-27,21.450001,16.389561,500
2023-11-28,21.440001,16.381922,10000
2023-11-29,21.280001,16.378077,5200
2023-11-30,21.26,16.362684,100
2023-12-01,21.4,16.470434,500
2023-12-04,21.309999,16.401165,200
2023-12-05,21.360001,16.439646,700
2023-12-06,21.290001,16.385771,1100
2023-12-07,21.440001,16.501217,1100
2023-12-08,21.51,16.555096,2400
2023-12-11,21.59,16.616667,1000
2023-12-12,21.68,16.68593,100
2023-12-13,21.879999,16.839861,13300
2023-12-14,21.950001,16.893738,900
2023-12-15,21.98,16.916824,500
2023-12-18,22.07,16.986097,200
2023-12-19,22.15,17.04767,400
2023-12-20,21.940001,16.886042,700
2023-12-21,22.049999,16.970699,2100
2023-12-22,22.110001,17.016882,3200
2023-12-27,22.209999,17.093847,700
2023-12-28,22.139999,17.159723,900
2023-12-29,22.1,17.128725,100
2024-01-02,21.84,16.927204,8000
2024-01-03,21.76,16.865206,400
2024-01-04,21.700001,16.818701,1200
2024-01-05,21.65,16.779947,700
2024-01-08,21.959999,17.020212,2000
2024-01-09,21.969999,17.027967,1800
2024-01-10,22.08,17.11322,700
2024-01-11,22.059999,17.097723,300
2024-01-12,22.08,17.11322,8900
2024-01-15,22.139999,17.159723,400
2024-01-16,21.959999,17.020212,15500
2024-01-17,21.82,16.911705,3000
2024-01-18,22.059999,17.097723,1500
