date,adj_close
2024-01-17,5.469
2024-01-18,5.4748
2024-01-19,5.5294
2024-01-22,5.5459
2024-01-23,5.5707
2024-01-24,5.5954
2024-01-25,5.5707
2024-01-26,5.5926
2024-01-29,5.6778
2024-01-30,5.6339
2024-01-31,5.5514
2024-02-01,5.6036
2024-02-02,5.6888
2024-02-05,5.6174
2024-02-06,5.6641
2024-02-07,5.7108
2024-02-08,5.7163
2024-02-09,5.7108
2024-02-12,5.752
2024-02-13,5.6531
2024-02-14,5.774
2024-02-15,5.8344
2024-02-16,5.8062
2024-02-20,5.6962
2024-02-21,5.6595
2024-02-22,5.8513
2024-02-23,5.8964
2024-02-26,5.9162
2024-02-27,5.9726
2024-02-28,5.9838
2024-02-29,6.0769
2024-03-01,6.1107
2024-03-04,6.091
2024-03-05,5.9697
2024-03-06,6.029
2024-03-07,6.1051
2024-03-08,6.0966
2024-03-11,6.091
2024-03-12,6.1671
2024-03-13,6.1502
2024-03-14,6.0512
2024-03-15,6.0628
2024-03-18,6.1265
2024-03-19,6.112
2024-03-20,6.1699
2024-03-21,6.2075
2024-03-22,6.2046
2024-03-25,6.2683
2024-03-26,6.2596
2024-03-27,6.2654
2024-03-28,6.277
2024-04-01,6.2539
2024-04-02,6.1989
2024-04-03,6.2162
2024-04-04,6.1294
2024-04-05,6.1786
2024-04-08,6.222
2024-04-09,6.2307
2024-04-10,6.2046
2024-04-11,6.277
2024-04-12,6.1612
2024-04-15,6.0251
2024-04-16,6.002
2024-04-17,5.9488
2024-04-18,5.9279
2024-04-19,5.7876
2024-04-22,5.8801
2024-04-23,5.9757
2024-04-24,5.9906
2024-04-25,5.9608
2024-04-26,6.0384
2024-04-29,6.0653
2024-04-30,5.9488
2024-05-01,5.91
2024-05-02,6.0354
2024-05-03,6.1101
2024-05-06,6.1758
2024-05-07,6.128
2024-05-08,6.1071
2024-05-09,6.125
2024-05-10,6.0593
2024-05-13,6.1071
2024-05-14,6.1608
2024-05-15,6.211
2024-05-16,6.2017
2024-05-17,6.2451
2024-05-20,6.2977
2024-05-21,6.307
2024-05-22,6.2605
2024-05-23,6.1738
2024-05-24,6.2729
2024-05-28,6.2853
2024-05-29,6.2513
2024-05-30,6.2543
2024-05-31,6.2265
2024-06-03,6.2574
2024-06-04,6.2729
2024-06-05,6.3318
2024-06-06,6.3534
2024-06-07,6.3225
2024-06-10,6.3503
2024-06-11,6.3287
2024-06-12,6.3844
2024-06-13,6.3225
2024-06-14,6.2904
2024-06-17,6.316
2024-06-18,6.2743
2024-06-20,6.2871
2024-06-21,6.2839
2024-06-24,6.2261
2024-06-25,6.3128
2024-06-26,6.2839
2024-06-27,6.3257
2024-06-28,6.2647
2024-07-01,6.2871
2024-07-02,6.3193
2024-07-03,6.3385
2024-07-05,6.3835
2024-07-08,6.3867
2024-07-09,6.3803
2024-07-10,6.4188
2024-07-11,6.3803
2024-07-12,6.4124
2024-07-15,6.4862
2024-07-16,6.4798
2024-07-17,6.3743
2024-07-18,6.288
2024-07-19,6.3013
2024-07-22,6.3842
2024-07-23,6.3544
2024-07-24,6.1354
2024-07-25,6.0823
2024-07-26,6.1652
2024-07-29,6.1752
2024-07-30,6.142
2024-07-31,6.2449
2024-08-01,6.0391
2024-08-02,5.8898
2024-08-05,5.6576
2024-08-06,5.777
2024-08-07,5.7007
2024-08-08,5.8898
2024-08-09,5.9263
2024-08-12,5.9197
2024-08-13,6.0192
2024-08-14,6.0159
2024-08-15,6.054
2024-08-16,6.1123
2024-08-19,6.15
2024-08-20,6.1432
2024-08-21,6.1912
2024-08-22,6.0711
2024-08-23,6.1295
2024-08-26,6.1466
2024-08-27,6.1226
2024-08-28,6.0266
2024-08-29,6.0368
2024-08-30,6.0849
2024-09-03,5.9099
2024-09-04,5.9168
2024-09-05,5.9031
2024-09-06,5.7316
2024-09-09,5.8413
2024-09-10,5.8894
2024-09-11,5.9511
2024-09-12,5.982
2024-09-13,6.006
2024-09-16,6.0025
2024-09-17,6.0403
2024-09-18,6.0368
2024-09-19,6.1574
2024-09-20,6.1296
2024-09-23,6.1713
2024-09-24,6.2234
2024-09-25,6.2095
2024-09-26,6.2665
2024-09-27,6.2947
2024-09-30,6.2736
2024-10-01,6.1821
2024-10-02,6.1751
2024-10-03,6.1601
2024-10-04,6.2669
2024-10-07,6.2384
2024-10-08,6.2634
2024-10-09,6.2812
2024-10-10,6.279
2024-10-11,6.3439
2024-10-14,6.3727
2024-10-15,6.3006
2024-10-16,6.3366
2024-10-17,6.3057
2024-10-18,6.393
2024-10-21,6.4112
2024-10-22,6.3785
2024-10-23,6.3021
2024-10-24,6.3858
2024-10-25,6.4005
2024-10-28,6.4706
2024-10-29,6.5074
2024-10-30,6.4558
2024-10-31,6.3195
2024-11-01,6.327
2024-11-04,6.3158
2024-11-05,6.3942
2024-11-06,6.6108
2024-11-07,6.6597
2024-11-08,6.6635
2024-11-11,6.8139
2024-11-12,6.8064
2024-11-13,6.7462
2024-11-14,6.6825
2024-11-15,6.6711
2024-11-18,6.7735
2024-11-19,6.91
2024-11-20,6.8987
2024-11-21,6.9694
2024-11-22,7.054
2024-11-25,7.0924
2024-11-26,7.0117
2024-11-27,7.054
2024-11-29,7.0837
2024-12-02,7.1814
2024-12-03,7.2088
2024-12-04,7.2909
2024-12-05,7.2861
2024-12-06,7.3851
2024-12-09,7.3257
2024-12-10,7.2307
2024-12-11,7.3099
2024-12-12,7.2752
2024-12-13,7.2473
2024-12-16,7.2951
2024-12-17,7.2792
2024-12-18,6.9762
2024-12-19,6.9477
2024-12-20,7.0441
2024-12-23,7.0481
2024-12-24,7.1727
2024-12-26,7.1486
2024-12-27,7.0488
2024-12-30,6.9591
2024-12-31,6.9062
2025-01-02,6.9428
2025-01-03,7.1039
2025-01-06,7.1945
2025-01-07,7.0462
2025-01-08,6.9466
2025-01-10,6.8594
2025-01-13,6.7472
2025-01-14,6.7722
2025-01-15,6.9216
2025-01-16,6.9016
2025-01-17,7.0103
2025-01-21,7.0562
2025-01-22,7.1189
2025-01-23,7.162
2025-01-24,7.1325
2025-01-27,6.9255
2025-01-28,7.0649
2025-01-29,7.0522
2025-01-30,7.1191
2025-01-31,7.0723
2025-02-03,6.9998
2025-02-04,7.1063
2025-02-05,7.0595
2025-02-06,7.1043
2025-02-07,7.0871
2025-02-10,7.1862
2025-02-11,7.0741
2025-02-12,7.156
2025-02-13,7.2387
2025-02-14,7.2909
2025-02-18,7.3648
2025-02-19,7.3257
2025-02-20,7.2971
2025-02-21,7.064
2025-02-24,6.8836
2025-02-25,6.6549
2025-02-26,6.7561
2025-02-27,6.5489
2025-02-28,6.6199
2025-03-03,6.4823
2025-03-04,6.4912
2025-03-05,6.6421
2025-03-06,6.4441
2025-03-07,6.5298
2025-03-10,6.1871
2025-03-11,6.2051
2025-03-12,6.3449
2025-03-13,6.1723
2025-03-14,6.3676
2025-03-17,6.4175
2025-03-18,6.3358
2025-03-19,6.4357
2025-03-20,6.4095
2025-03-21,6.4738
2025-03-24,6.6575
2025-03-25,6.6621
2025-03-26,6.5151
2025-03-27,6.4466
2025-03-28,6.2565
2025-03-31,6.1917
2025-04-01,6.289
2025-04-02,6.377
2025-04-03,5.9864
2025-04-04,5.5967
2025-04-07,5.6061
2025-04-08,5.4981
2025-04-09,6.0146
2025-04-10,5.8433
2025-04-11,6.0046
2025-04-14,6.0426
2025-04-15,6.0852
2025-04-16,5.9382
2025-04-17,6.002
2025-04-21,5.8725
2025-04-22,6.0499
2025-04-23,6.1793
2025-04-24,6.3329
2025-04-25,6.4008
2025-04-28,6.4153
2025-04-29,6.4735
2025-04-30,6.4153
2025-05-01,6.4615
2025-05-02,6.5548
2025-05-05,6.4762
2025-05-06,6.432
2025-05-07,6.4615
2025-05-08,6.6146
2025-05-09,6.6345
2025-05-12,6.7837
2025-05-13,6.9578
2025-05-14,7.0026
2025-05-15,6.9325
2025-05-16,7.0182
2025-05-19,7.0132
2025-05-20,6.9879
2025-05-21,6.8922
2025-05-22,6.9514
2025-05-23,6.8901
2025-05-27,7.0435
2025-05-28,6.9872
2025-05-29,7.021
2025-05-30,7.0002
2025-06-02,7.0521
2025-06-03,7.1248
2025-06-04,7.1404
2025-06-05,7.0205
2025-06-06,7.1362
2025-06-09,7.2204
2025-06-10,7.2466
2025-06-11,7.2414
2025-06-12,7.2041
2025-06-13,7.0869
2025-06-16,7.2094
2025-06-17,7.1668
2025-06-18,7.1881
2025-06-20,7.2053
2025-06-23,7.2269
2025-06-24,7.34
2025-06-25,7.3723
2025-06-26,7.4349
2025-06-27,7.4077
2025-06-30,7.4948
2025-07-01,7.4513
2025-07-02,7.5711
2025-07-03,7.5749
2025-07-07,7.5199
2025-07-08,7.5474
2025-07-09,7.6135
2025-07-10,7.6664
2025-07-11,7.6608
2025-07-14,7.7164
2025-07-15,7.7164
2025-07-16,7.7832
2025-07-17,7.8359
2025-07-18,7.8079
2025-07-21,7.8079
2025-07-22,7.8303
2025-07-23,7.8471
2025-07-24,7.821
2025-07-25,7.8664
2025-07-28,7.8948
2025-07-29,7.8039
2025-07-30,7.7755
2025-07-31,7.7956
2025-08-01,7.5542
2025-08-04,7.6749
2025-08-05,7.6289
2025-08-06,7.6347
2025-08-07,7.6492
2025-08-08,7.6376
2025-08-11,7.5853
2025-08-12,7.6608
2025-08-13,7.7073
2025-08-14,7.6839
2025-08-15,7.678
2025-08-18,7.6897
2025-08-19,7.5198
2025-08-20,7.4729
2025-08-21,7.4563
2025-08-22,7.6284
2025-08-25,7.575
2025-08-26,7.6106
2025-08-27,7.6106
2025-08-28,7.6808
2025-08-29,7.6268
2025-09-02,7.6148
2025-09-03,7.5908
2025-09-04,7.5963
2025-09-05,7.5842
2025-09-08,7.6205
2025-09-09,7.7173
2025-09-10,7.6689
