date,adj_close
2024-04-16,10.0982
2024-04-17,10.1237
2024-04-18,9.9962
2024-04-19,9.9707
2024-04-22,10.0047
2024-04-23,10.0982
2024-04-24,9.9962
2024-04-25,9.9962
2024-04-26,10.0557
2024-04-29,10.0812
2024-04-30,10.0132
2024-05-01,9.9112
2024-05-02,9.9112
2024-05-03,9.9027
2024-05-06,10.0217
2024-05-07,10.0982
2024-05-08,10.0727
2024-05-09,10.1407
2024-05-10,10.1492
2024-05-13,10.0897
2024-05-14,10.0557
2024-05-15,10.0642
2024-05-16,10.0302
2024-05-17,9.9877
2024-05-21,10.0302
2024-05-22,10.0727
2024-05-23,10.0047
2024-05-24,10.0217
2024-05-27,10.0472
2024-05-28,9.8687
2024-05-29,9.8177
2024-05-30,9.8347
2024-05-31,9.8347
2024-06-03,9.7663
2024-06-04,9.7663
2024-06-05,9.886
2024-06-06,9.8262
2024-06-07,9.9459
2024-06-10,9.9373
2024-06-11,9.8433
2024-06-12,9.9288
2024-06-13,9.8518
2024-06-14,9.7492
2024-06-17,9.8604
2024-06-18,9.9117
2024-06-19,9.9031
2024-06-20,9.8775
2024-06-21,9.886
2024-06-24,9.9031
2024-06-25,9.8133
2024-06-26,9.8005
2024-06-27,9.792
2024-06-28,9.7834
2024-07-02,9.7834
2024-07-03,9.7834
2024-07-04,9.7748
2024-07-05,9.7059
2024-07-08,9.7231
2024-07-09,9.693
2024-07-10,9.6887
2024-07-11,9.8909
2024-07-12,9.9555
2024-07-15,9.9555
2024-07-16,10.2738
2024-07-17,10.1792
2024-07-18,10.1275
2024-07-19,10.0845
2024-07-22,10.1792
2024-07-23,10.1448
2024-07-24,10.0329
2024-07-25,10.0931
2024-07-26,10.1792
2024-07-29,10.1964
2024-07-30,10.1964
2024-07-31,10.2916
2024-08-01,10.0665
2024-08-02,9.8415
2024-08-06,9.703
2024-08-07,9.6424
2024-08-08,9.8155
2024-08-09,9.8848
2024-08-12,9.8502
2024-08-13,9.9107
2024-08-14,9.9713
2024-08-15,10.1098
2024-08-16,10.1098
2024-08-19,10.0406
2024-08-20,10.0319
2024-08-21,10.0406
2024-08-22,10.0233
2024-08-23,10.0752
2024-08-26,10.0925
2024-08-27,10.006
2024-08-28,10.0189
2024-08-29,10.0925
2024-08-30,10.1012
2024-09-03,10.0228
2024-09-04,9.9967
2024-09-05,9.8835
2024-09-06,9.8487
2024-09-09,9.9967
2024-09-10,10.0141
