date,adj_close
2023-04-12,11.5797
2023-04-13,11.6258
2023-04-14,11.6104
2023-04-17,11.6104
2023-04-18,11.6411
2023-04-19,11.6411
2023-04-20,11.5874
2023-04-21,11.6104
2023-04-24,11.6181
2023-04-25,11.503
2023-04-26,11.48
2023-04-27,11.5567
2023-04-28,11.5797
2023-05-01,11.5797
2023-05-02,11.5107
2023-05-03,11.4339
2023-05-04,11.2958
2023-05-05,11.2728
2023-05-08,11.4646
2023-05-09,11.4493
2023-05-10,11.4032
2023-05-11,11.3802
2023-05-12,11.3188
2023-05-15,11.3648
2023-05-16,11.4186
2023-05-17,11.4493
2023-05-18,11.4569
2023-05-19,11.4953
2023-05-23,11.4262
2023-05-24,11.4262
2023-05-25,11.2728
2023-05-26,11.4339
2023-05-29,11.4262
2023-05-30,11.434
2023-05-31,11.3799
2023-06-01,11.3335
2023-06-02,11.4031
2023-06-05,11.5885
2023-06-06,11.5885
2023-06-07,11.5962
2023-06-08,11.6117
2023-06-09,11.6503
2023-06-12,11.6348
2023-06-13,11.6735
2023-06-14,11.7044
2023-06-15,11.7662
2023-06-16,11.7816
2023-06-19,11.7816
2023-06-20,11.6426
2023-06-21,11.6426
2023-06-22,11.5421
2023-06-23,11.5885
2023-06-26,11.4803
2023-06-27,11.5035
2023-06-28,11.6039
2023-06-29,11.6584
2023-06-30,11.6584
2023-07-04,11.775
2023-07-05,11.7673
2023-07-06,11.7595
2023-07-07,11.6817
2023-07-10,11.6584
2023-07-11,11.6895
2023-07-12,11.8373
2023-07-13,11.915
2023-07-14,11.8917
2023-07-17,11.8839
2023-07-18,11.8917
2023-07-19,12.0784
2023-07-20,12.0706
2023-07-21,12.1406
2023-07-24,12.1795
2023-07-25,12.1406
2023-07-26,12.1795
2023-07-27,12.0706
2023-07-28,12.1567
2023-07-31,12.1489
2023-08-01,12.1097
2023-08-02,11.9766
2023-08-03,11.9062
2023-08-04,11.961
2023-08-08,11.9453
2023-08-09,11.8984
2023-08-10,11.8905
2023-08-11,11.8984
2023-08-14,11.8749
2023-08-15,11.7261
2023-08-16,11.7183
2023-08-17,11.6635
2023-08-18,11.5696
2023-08-21,11.5774
2023-08-22,11.5226
2023-08-23,11.507
2023-08-24,11.5383
2023-08-25,11.4991
2023-08-28,11.6244
2023-08-29,11.64
2023-08-30,11.8765
2023-08-31,11.7819
2023-09-01,11.7583
2023-09-05,11.7346
2023-09-06,11.7346
2023-09-07,11.6479
2023-09-08,11.6164
2023-09-11,11.6479
2023-09-12,11.6952
2023-09-13,11.7031
2023-09-14,11.7898
2023-09-15,11.7583
2023-09-18,11.7031
2023-09-19,11.711
2023-09-20,11.6794
