date,adj_close
2026-01-20,6.0419
2026-01-21,6.034
2026-01-22,5.9234
2026-01-23,5.7497
2026-01-26,5.6549
2026-01-27,5.5285
2026-01-28,5.5048
2026-01-29,5.2205
2026-01-30,5.1549
2026-02-02,4.9825
2026-02-03,4.7609
2026-02-04,4.4736
2026-02-05,3.8743
2026-02-06,4.3997
2026-02-09,4.3915
2026-02-10,4.2848
2026-02-11,4.0426
2026-02-12,3.7676
2026-02-13,4.3504
2026-02-17,4.3956
2026-02-18,4.3792
2026-02-19,4.4161
2026-02-20,4.5474
2026-02-23,4.3094
2026-02-24,4.3504
2026-02-25,4.8101
2026-02-26,4.728
2026-02-27,4.6345
2026-03-02,4.8301
2026-03-03,4.7875
2026-03-04,5.2893
2026-03-05,5.2382
2026-03-06,5.0512
2026-03-09,5.1192
2026-03-10,5.0554
2026-03-11,5.1107
2026-03-12,5.0171
2026-03-13,5.1022
2026-03-16,5.2467
2026-03-17,5.3488
2026-03-18,5.2552
2026-03-19,5.2382
2026-03-20,5.1022
2026-03-23,5.2212
2026-03-24,4.7875
2026-03-25,4.8131
2026-03-26,4.626
2026-03-27,4.3113
2026-03-30,4.3198
2026-03-31,4.7005
2026-04-01,4.6562
2026-04-02,4.6031
2026-04-06,4.7093
2026-04-07,4.6916
2026-04-08,4.6828
2026-04-09,4.5146
2026-04-10,4.5057
2026-04-13,4.6562
2026-04-14,4.8864
2026-04-15,5.1608
2026-04-16,5.2493
2026-04-17,5.3998
2026-04-20,5.4706
2026-04-21,5.1564
2026-04-22,5.3998
2026-04-23,5.2316
2026-04-24,5.2582
2026-04-27,5.2051
2026-04-28,5.1696
2026-04-29,4.8775
2026-04-30,5.0148
2026-05-01,5.0697
2026-05-04,5.3534
2026-05-05,5.2527
2026-05-06,5.2619
2026-05-07,5.1429
2026-05-08,5.3351
2026-05-11,5.7103
2026-05-12,5.5364
2026-05-13,5.3991
2026-05-14,5.6554
2026-05-15,5.2893
2026-05-19,5.2527
2026-05-20,5.2344
2026-05-21,5.2756
2026-05-22,5.1017
2026-05-25,5.4083
2026-05-26,4.969
2026-05-27,4.8363
2026-05-28,5.0422
2026-05-29,5.222
2026-06-01,5.0328
2026-06-02,4.8483
2026-06-03,4.5787
2026-06-04,4.5976
2026-06-05,4.2854
2026-06-08,4.5314
2026-06-09,4.3564
2026-06-10,4.3327
2026-06-11,4.503
2026-06-12,4.5125
2026-06-15,4.7395
2026-06-16,4.7348
2026-06-17,4.6828
2026-06-18,4.6449
2026-06-19,4.7774
2026-06-22,4.6828
2026-06-23,4.5503
2026-06-24,4.3564
2026-06-25,4.1625
2026-06-26,4.3327
2026-06-29,4.3942
2026-06-30,4.2482
2026-07-02,4.7105
2026-07-03,4.8273
2026-07-06,4.8176
2026-07-07,4.7105
2026-07-08,4.5937
2026-07-09,4.584
2026-07-10,4.6035
2026-07-13,4.5451
2026-07-14,4.6327
2026-07-15,4.73
2026-07-16,4.6327
2026-07-17,4.5451
2026-07-20,4.7105
2026-07-21,5.022
2026-07-22,4.8176
2026-07-23,4.6813
2026-07-24,4.5791
2026-07-27,4.8468
2026-07-28,4.8468
2026-07-29,4.6424
2026-07-30,4.73
2026-07-31,4.32
2026-08-04,4.48
2026-08-05,4.45
2026-08-06,4.3
2026-08-07,4.49
2026-08-10,4.37
2026-08-11,4.35
2026-08-12,4.37
2026-08-13,4.5
2026-08-14,4.35
2026-08-17,4.4
2026-08-18,4.295
2026-08-19,4.65
2026-08-20,4.93
2026-08-21,5.25
